sp,genus,species,name,LeafHabit
ABUP,Abuta,panamensis,Abuta_panamensis,evergreen
ADE1,Adelobotrys,adscendens,Adelobotrys_adscendens,evergreen
ALBG,Albizia,guachapele,Albizia_guachapele,evergreen
AMPP,Amphilophium,paniculatum,Amphilophium_paniculatum,evergreen
ANAE,Anacardium,excelsum,Anacardium_excelsum,deciduous
ANES,Anemopaegna,santa-ritens,Anemopaegna_santa-ritens,evergreen
ANNS,Annona,spraguei,Annona_spraguei,deciduous
ANOR,Anomospermum,reticulatum,Anomospermum_reticulatum,evergreen
ANTT,Antirrhoea,trichantha,Antirrhoea_trichantha,deciduous
APEM,Apeiba,membranaceae,Apeiba_membranaceae,deciduous
ARIC,Aristolochia,maxima,Aristolochia_maxima,evergreen
ARII,Aristolochia,inflata,Aristolochia_inflata,evergreen
ARR1,Arrabidaea,candicans,Arrabidaea_candicans,evergreen
ARRP,Arrabidaea,patellifera,Arrabidaea_patellifera,evergreen
ARRV,Arrabidaea,verrucosa,Arrabidaea_verrucosa,evergreen
ASPC,Aspidosperma,cruenta,Aspidosperma_cruenta,evergreen
ASTG,Astronium,graveolens,Astronium_graveolens,evergreen
BONM,Bonomia,maripoide,Bonomia_maripoide,evergreen
BROU,Brosimum,utile,Brosimum_utile,evergreen
CAL2,Calophyllum,longifolium,Calophyllum_longifolium,evergreen
CARG,Carapa,guianensis,Carapa_guianensis,evergreen
CAS3,Cassipourea,elliptica,Cassipourea_elliptica,evergreen
CAS4,Castilla,elastica,Castilla_elastica,deciduous
CAYG,Cayaponia,granatensis,Cayaponia_granatensis,evergreen
CECI,Cecropia,insignis,Cecropia_insignis,evergreen
CECL,Cecropia,longirostris,Cecropia_longirostris,deciduous
CECO,Cecropia,obtusifolia,Cecropia_obtusifolia,evergreen
CECP,Cecropia,peltata,Cecropia_peltata,evergreen
CES1,Cespedezia,macrophylla,Cespedezia_macrophylla,evergreen
CHRC,Chrysophyllu,cainito,Chrysophyllu_cainito,evergreen
CHRP,Chrysophyllu,argenteum,Chrysophyllu_argenteum,evergreen
CIS?,Cissus,unidentified,Cissus_unidentified,evergreen
CISE,Cissus,erosa,Cissus_erosa,evergreen
CLU?,Clusia,valerioi,Clusia_valerioi,evergreen
COCP,Coccoloba,parimensis,Coccoloba_parimensis,evergreen
CODU,Codonanthe,uleana,Codonanthe_uleana,evergreen
COMF,Combretum,fruticosum,Combretum_fruticosum,deciduous
CORA,Cordia,alliodora,Cordia_alliodora,deciduous
CORB,Cordia,bicolor,Cordia_bicolor,evergreen
CUPL,Cupania,latifolia,Cupania_latifolia,evergreen
CYMR,Cymbosema,roseum,Cymbosema_roseum,deciduous
DAVN,Davilla,nitida,Davilla_nitida,evergreen
DENA,Dendropanax,arboreus,Dendropanax_arboreus,evergreen
DIOG,Dioclea,guianensis,Dioclea_guianensis,evergreen
DIOW,Dioclea,wilsonii,Dioclea_wilsonii,evergreen
DOL1,Doliocarpus,major,Doliocarpus_major,evergreen
DOL2,Doliocarpus,multiflorus,Doliocarpus_multiflorus,evergreen
DOL?,Doliocarpus,unidentified,Doliocarpus_unidentified,evergreen
DOLD,Doliocarpus,dentatus,Doliocarpus_dentatus,evergreen
DOLO,Doliocarpus,olivaceus,Doliocarpus_olivaceus,evergreen
DRSE,Drymonia,serrulata,Drymonia_serrulata,evergreen
DUSM,Dussia,munda,Dussia_munda,evergreen
FICI,Ficus,citrifolia,Ficus_citrifolia,evergreen
FIIN,Ficus,insipida,Ficus_insipida,evergreen
FINY,Ficus,nymphiifolia,Ficus_nymphiifolia,evergreen
FIPA,Ficus,paraensis,Ficus_paraensis,evergreen
FISB,Fisheria,blepharopeta,Fisheria_blepharopeta,evergreen
FORM,Forsteronia,myriantha,Forsteronia_myriantha,evergreen
FORS,Forsteronia,spicata,Forsteronia_spicata,evergreen
FORV,Forsteronia,viridescens,Forsteronia_viridescens,evergreen
GARM,Garcinia,madruno,Garcinia_madruno,evergreen
GOUL,Gouania,lupuloides,Gouania_lupuloides,evergreen
GUA?,Guarea,kunthiana,Guarea_kunthiana,evergreen
GUAA,Guatteria,amplifolia,Guatteria_amplifolia,evergreen
GUAD,Guatteria,dumetorum,Guatteria_dumetorum,evergreen
GUAU,Guazuma,ulmifolia,Guazuma_ulmifolia,deciduous
HAVF,Havetiopsis,flexilis,Havetiopsis_flexilis,evergreen
HEIS,Heisteria,scandens,Heisteria_scandens,evergreen
HIRQ,Hiraea,quapara,Hiraea_quapara,evergreen
HUMD,Humiriestrum,diguense,Humiriestrum_diguense,evergreen
INCO,Inga,cocleensis,Inga_cocleensis,evergreen
INGO,Inga,goldmanii,Inga_goldmanii,evergreen
INM2,Inga,multijuga,Inga_multijuga,evergreen
INPE,Inga,pezizifera,Inga_pezizifera,evergreen
LACP,Lacmella,panamensis,Lacmella_panamensis,evergreen
LICH,Licania,hypoleuca,Licania_hypoleuca,evergreen
LONL,Lonchocarpus,longifolium,Lonchocarpus_longifolium,deciduous
LUE1,Luehea,seemannii,Luehea_seemannii,deciduous
MACR,Machaerium,riparium,Machaerium_riparium,evergreen
MANB,Manilkara,bidentata,Manilkara_bidentata,evergreen
MAR3,Maranthes,panamensis,Maranthes_panamensis,evergreen
MARL,Marila,laxiflora,Marila_laxiflora,evergreen
MARP,Maripa,panamensis,Maripa_panamensis,evergreen
MASH,Mascagnia,hippocrateoi,Mascagnia_hippocrateoi,evergreen
MICB,Miconia,borealis,Miconia_borealis,evergreen
MIKL,Mikania,leiostachya,Mikania_leiostachya,evergreen
NECP,Nectandra,umbrosa,Nectandra_umbrosa,evergreen
OCOI,Ocotea,ira,Ocotea_ira,evergreen
ODOP,Odontadenia,ponticulosa,Odontadenia_ponticulosa,evergreen
OMPD,Omphalea,diandra,Omphalea_diandra,evergreen
PACK,Pachyptera,kerere,Pachyptera_kerere,evergreen
PASV,Passiflora,vitifolia,Passiflora_vitifolia,evergreen
PAUF,Paullinia,fibrigera,Paullinia_fibrigera,evergreen
PERA,Pera,arborea,Pera_arborea,evergreen
PERX,Perebea,xanthochyma,Perebea_xanthochyma,evergreen
PHI?,Philodendron,unidentified,Philodendron_unidentified,evergreen
PHOC,Nectandra,cuspidata,Nectandra_cuspidata,evergreen
PHOM,Cinnamomum,triplinerve,Cinnamomum_triplinerve,evergreen
PHRC,Phryganocydi,corymbosa,Phryganocydi_corymbosa,evergreen
PITC,Pithecocteni,crucigerum,Pithecocteni_crucigerum,evergreen
PLEV,Pleonotoma,variabilis,Pleonotoma_variabilis,evergreen
POUA,Poulsenia,armata,Poulsenia_armata,evergreen
POUB,Pouruma,bicolor,Pouruma_bicolor,evergreen
POUU,Pouteria,unilocularis,Pouteria_unilocularis,evergreen
PPA1,Piper,arboreum,Piper_arboreum,evergreen
PPRE,Piper,reticulatum,Piper_reticulatum,evergreen
PROP,Protium,panamense,Protium_panamense,evergreen
PYSU,Psychotria,suerrensis,Psychotria_suerrensis,evergreen
SABP,Sabiceae,panamensis,Sabiceae_panamensis,evergreen
SAPE,Sapium,eglandulosum,Sapium_eglandulosum,deciduous
SECD,Securidaca,diversifolia,Securidaca_diversifolia,deciduous
SER2,Serjania,cornigera,Serjania_cornigera,evergreen
SER4,Serjania,pluvialiflor,Serjania_pluvialiflor,evergreen
SERA,Serjania,atrolineata,Serjania_atrolineata,evergreen
SERM,Serjania,mexicana,Serjania_mexicana,evergreen
SIMA,Simarouba,amara,Simarouba_amara,evergreen
SOCE,Socratea,exorrhiza,Socratea_exorrhiza,evergreen
SPOM,Spondias,mombin,Spondias_mombin,deciduous
STIH,Stigmaphyllu,hypagyreum,Stigmaphyllu_hypagyreum,evergreen
STIR,Stizophyllum,riparium,Stizophyllum_riparium,evergreen
SYMG,Symphonia,globulifera,Symphonia_globulifera,evergreen
TACV,Tachigalia,versicolor,Tachigalia_versicolor,evergreen
TAPG,Tapirira,guianensis,Tapirira_guianensis,evergreen
TERA,Terminalia,amazonica,Terminalia_amazonica,evergreen
TETH,Tetracera,hydrophila,Tetracera_hydrophila,evergreen
TOCP,Tocoyena,pittieri,Tocoyena_pittieri,evergreen
TONR,Tontelea,ovalifolia,Tontelea_ovalifolia,evergreen
TOVL,Tovomita,longifolia,Tovomita_longifolia,evergreen
TRAA,Trattinnicki,aspera,Trattinnicki_aspera,deciduous
TRIG,Trichospermu,galeottii,Trichospermu_galeottii,evergreen
TRIO,Trichostigma,octandrum,Trichostigma_octandrum,evergreen
TYNC,Tynnanthus,croatianus,Tynnanthus_croatianus,evergreen
UREC,Urera,caracasana,Urera_caracasana,deciduous
VAND,Vantanea,depleta,Vantanea_depleta,evergreen
VIR1,Virola,sebifera,Virola_sebifera,evergreen
VIR2,Virola,surinamensis,Virola_surinamensis,evergreen
VIR3,Virola,multiflora,Virola_multiflora,evergreen
VIRE,Virola,elongata,Virola_elongata,evergreen
VITT,Vitis,tillifolia,Vitis_tillifolia,evergreen
VOCF,Vochysia,ferruginea,Vochysia_ferruginea,evergreen
