"model","trait","obs","obs2","rand","temp","max","min","site","sig","trait2","site2","sig2","ex"
"power-law","Aarea_LMAp",0.547906330086213,"rand_All",-0.121752419026725,"power-law_Aarea_LMAp_rand_All",0.059458700904217,-0.357759438656378,"GL","sig","italic('A')[area]-LMAp","GLOPNET","same","Positive"
"power-law","Aarea_LMAs",-0.217413339299123,"rand_All",0.0369878326757334,"power-law_Aarea_LMAs_rand_All",0.173556978729618,-0.0388881055892549,"GL","sig","italic('A')[area]-LMAs","GLOPNET","same","Weak"
"power-law","LL_LMAp",0.141096689445718,"rand_All",0.00273645169808602,"power-law_LL_LMAp_rand_All",0.0399994444699624,-0.0460473769539033,"GL","ns","LL-LMAp","GLOPNET","same","Weak"
"power-law","LL_LMAs",0.932595104957745,"rand_All",-0.0433934290075719,"power-law_LL_LMAs_rand_All",0.197704412970715,-0.158543554330937,"GL","sig","LL-LMAs","GLOPNET","same","Positive"
"power-law","Narea_LMAp",0.667611326597131,"rand_All",-0.0207117229305205,"power-law_Narea_LMAp_rand_All",0.0687774943337976,-0.112283080044597,"GL","sig","italic('N')[area]-LMAp","GLOPNET","same","Positive"
"power-law","Narea_LMAs",0.457169436068294,"rand_All",-0.0136645124538393,"power-law_Narea_LMAs_rand_All",0.0709489496496142,-0.108052111411424,"GL","sig","italic('N')[area]-LMAs","GLOPNET","same","Weak"
"power-law","Parea_LMAp",0.524690993559906,"rand_All",-0.00476644597506902,"power-law_Parea_LMAp_rand_All",0.160858259395386,-0.184346542867154,"GL","sig","italic('P')[area]-LMAp","GLOPNET","same","Positive"
"power-law","Parea_LMAs",0.313745258663187,"rand_All",-0.00389308866307431,"power-law_Parea_LMAs_rand_All",0.113381767072111,-0.109565246103151,"GL","sig","italic('P')[area]-LMAs","GLOPNET","same","Weak"
"power-law","Rarea_LMAp",0.542614947085854,"rand_All",0.042540765230554,"power-law_Rarea_LMAp_rand_All",0.478780235883393,-0.58622183610345,"GL","sig","italic('R')[area]-LMAp","GLOPNET","same","Positive"
"power-law","Rarea_LMAs",0.152625453898823,"rand_All",-0.0767733277500363,"power-law_Rarea_LMAs_rand_All",0.660712379933112,-0.599438017465708,"GL","ns","italic('R')[area]-LMAs","GLOPNET","diff","Weak"
"power-law","Aarea_LMAp",0.823386582103426,"rand_All",-0.0191228581188028,"power-law_Aarea_LMAp_rand_All",0.0999978016084441,-0.0790320218499082,"PA","sig","italic('A')[area]-LMAp","Panama","same","Positive"
"power-law","Aarea_LMAs",-0.0229590070136812,"rand_All",0.0301260480789065,"power-law_Aarea_LMAs_rand_All",0.217779643701744,-0.129756408972389,"PA","ns","italic('A')[area]-LMAs","Panama","diff","Weak"
"power-law","cell_area_LMAp",0.566305065134053,"rand_All",-0.0182049570806187,"power-law_cell_area_LMAp_rand_All",0.156661346807429,-0.224200155387164,"PA","sig","italic('CL')[area]-LMAp","Panama","same","Weak"
"power-law","cell_area_LMAs",0.423395257729214,"rand_All",0.0116375049818145,"power-law_cell_area_LMAs_rand_All",0.156499425230392,-0.25291216049184,"PA","sig","italic('CL')[area]-LMAs","Panama","same","Positive"
"power-law","LL_LMAp",-0.509657189853673,"rand_All",0.0154473110060831,"power-law_LL_LMAp_rand_All",0.257067940377004,-0.192187666952957,"PA","sig","LL-LMAp","Panama","same","Weak"
"power-law","LL_LMAs",0.718214013065944,"rand_All",-0.0115971575215047,"power-law_LL_LMAs_rand_All",0.117107946237168,-0.108509749043864,"PA","sig","LL-LMAs","Panama","same","Positive"
"power-law","LL-preLL",0.857666439355245,"rand_All",0.00436506861666009,"power-law_LL-preLL_rand_All",0.158589083942164,-0.108438521460383,"PA","sig","LL-LL[pred]","Panama","same","Positive"
"power-law","Narea_LMAp",0.791927194584057,"rand_All",-0.00648784162021998,"power-law_Narea_LMAp_rand_All",0.11268064432168,-0.153928086549089,"PA","sig","italic('N')[area]-LMAp","Panama","same","Positive"
"power-law","Narea_LMAs",0.0666475288341613,"rand_All",0.0249339020866579,"power-law_Narea_LMAs_rand_All",0.255810709122527,-0.129671673107756,"PA","ns","italic('N')[area]-LMAs","Panama","diff","Weak"
"power-law","Parea_LMAp",0.743219401787002,"rand_All",-0.00890868879277657,"power-law_Parea_LMAp_rand_All",0.0880103228173146,-0.188216035762823,"PA","sig","italic('P')[area]-LMAp","Panama","same","Positive"
"power-law","Parea_LMAs",0.028961491857429,"rand_All",0.0268385551852383,"power-law_Parea_LMAs_rand_All",0.25103992844951,-0.116222733855723,"PA","ns","italic('P')[area]-LMAs","Panama","diff","Weak"
"power-law","Rarea_LMAp",0.75904394783162,"rand_All",0.00290799820963366,"power-law_Rarea_LMAp_rand_All",0.0896264137753136,-0.0880161381185439,"PA","sig","italic('R')[area]-LMAp","Panama","same","Positive"
"power-law","Rarea_LMAs",-0.228538359492581,"rand_All",0.0647596795725495,"power-law_Rarea_LMAs_rand_All",0.246140335208048,-0.0418343306300209,"PA","sig","italic('R')[area]-LMAs","Panama","same","Weak"
